City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Lebu,CL,57.63,clear sky,-37.62,-73.65,Hostal Las Lilas
2,Ifakara,TZ,71.19,moderate rain,-8.13,36.68,Tanzanian Training Centre for International Health
3,Mahebourg,MU,78.8,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
10,Ribeira Grande,PT,62.6,broken clouds,38.52,-28.7,Quinta da Meia Eira
11,Rikitea,PF,78.75,clear sky,-23.12,-134.97,Pension Maro'i
14,Vaini,TO,68.0,few clouds,-21.2,-175.2,Keleti Beach Resort
15,Bredasdorp,ZA,62.6,overcast clouds,-34.53,20.04,Bredasdorp Country Manor
17,Phan Thiet,VN,76.86,broken clouds,10.93,108.1,Hotel Saigon-PT
18,Ushuaia,AR,53.6,scattered clouds,-54.8,-68.3,Albatros Hotel
19,Cape Town,ZA,66.2,clear sky,-33.93,18.42,Southern Sun Cape Sun
20,Byron Bay,AU,64.4,few clouds,-28.65,153.62,Backpackers Inn on the Beach
21,Shahrud,IR,67.21,broken clouds,36.42,54.98,Royal Hotel
23,Rosetown,CA,51.01,few clouds,51.55,-108.0,Travelodge by Wyndham Rosetown
24,Port Elizabeth,ZA,64.4,scattered clouds,-33.92,25.57,39 On Nile Guest House
25,Punta Arenas,CL,53.6,broken clouds,-53.15,-70.92,Hotel Dreams Del Estrecho
26,Codrington,AU,50.63,overcast clouds,-38.27,141.97,Codrington Gardens Bed And Breakfast
29,Busselton,AU,66.0,light rain,-33.65,115.33,Observatory Guest House
30,Corning,US,69.8,clear sky,42.14,-77.05,Fairfield Inn by Marriott Corning Riverside
33,Bethel,US,70.0,overcast clouds,41.37,-73.41,Courtyard by Marriott Danbury
35,Olinda,BR,78.8,light rain,-8.01,-34.86,Pousada Sitio Do Carmo
36,Kapaa,US,68.0,light rain,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
37,Rabo De Peixe,PT,62.6,broken clouds,37.8,-25.58,Quinta das Giestas
38,Katsuura,JP,50.0,few clouds,35.13,140.3,Katsuura Hotel Mikazuki
43,Mataura,NZ,57.0,light rain,-46.19,168.86,Ellie's Villa
45,Bella Vista,US,50.0,overcast clouds,36.43,-94.23,The Inn at Bella Vista
47,Hilo,US,66.99,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
48,Bengkulu,ID,76.08,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
49,Silver City,US,69.8,clear sky,32.77,-108.28,Copper Manor Motel
50,Mountain Home,US,60.8,clear sky,43.13,-115.69,Mountain Home Inn
54,Esperance,AU,57.2,broken clouds,-33.87,121.9,Hospitality Esperance
55,Notre-Dame-Du-Lac,CA,59.0,overcast clouds,47.61,-68.8,Auberge La Dolce Vita
56,Carnarvon,AU,77.0,overcast clouds,-24.87,113.63,Hospitality Carnarvon
59,Kruisfontein,ZA,61.0,overcast clouds,-34.0,24.73,Oyster Bay House Rental
60,Coquimbo,CL,66.2,clear sky,-29.95,-71.34,Hotel San Juan
61,Faya,SA,69.8,few clouds,18.39,42.45,مقبرة ال مجمل
62,Rawson,AR,68.83,clear sky,-43.3,-65.1,Hosteria Sampedro
63,Port Alfred,ZA,68.77,overcast clouds,-33.59,26.89,The Halyards Hotel
65,Ardakan,IR,77.0,scattered clouds,32.31,54.02,Ardakan Hotel
