,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lebu,CL,-37.62,-73.65,57.63,68,5,13.15,clear sky
1,Zalha,RO,47.18,23.53,50.0,43,0,3.44,clear sky
2,Ifakara,TZ,-8.13,36.68,71.19,95,74,1.25,moderate rain
3,Mahebourg,MU,-20.41,57.70,78.8,78,40,11.5,scattered clouds
4,Georgetown,MY,5.41,100.34,80.01,89,40,2.48,light rain
5,Gornopravdinsk,RU,60.05,69.90,36.5,99,100,4.05,overcast clouds
6,Sitka,US,57.05,-135.33,32.0,93,90,3.44,snow
7,Vestmannaeyjar,IS,63.44,-20.27,35.6,64,75,9.22,broken clouds
8,Tuktoyaktuk,CA,69.45,-133.04,-22.0,76,75,5.75,broken clouds
9,Nikolskoye,RU,59.70,30.79,37.0,86,75,2.24,broken clouds
10,Ribeira Grande,PT,38.52,-28.70,62.6,94,75,12.66,broken clouds
11,Rikitea,PF,-23.12,-134.97,78.75,71,2,9.51,clear sky
12,Itarema,BR,-2.92,-39.92,85.14,68,64,16.91,broken clouds
13,Barabinsk,RU,55.36,78.36,33.08,95,100,5.57,overcast clouds
14,Vaini,TO,-21.20,-175.20,68.0,94,20,3.44,few clouds
15,Bredasdorp,ZA,-34.53,20.04,62.6,88,100,4.61,overcast clouds
16,Albany,US,42.60,-73.97,73.99,39,0,4.63,clear sky
17,Phan Thiet,VN,10.93,108.10,76.86,83,71,9.78,broken clouds
18,Ushuaia,AR,-54.80,-68.30,53.6,54,40,8.05,scattered clouds
19,Cape Town,ZA,-33.93,18.42,66.2,77,0,12.66,clear sky
20,Byron Bay,AU,-28.65,153.62,64.4,77,13,4.61,few clouds
21,Shahrud,IR,36.42,54.98,67.21,35,63,5.91,broken clouds
22,Atuona,PF,-9.80,-139.03,80.55,75,77,18.63,broken clouds
23,Rosetown,CA,51.55,-108.00,51.01,36,19,12.66,few clouds
24,Port Elizabeth,ZA,-33.92,25.57,64.4,94,40,5.75,scattered clouds
25,Punta Arenas,CL,-53.15,-70.92,53.6,62,75,13.8,broken clouds
26,Codrington,AU,-38.27,141.97,50.63,65,98,27.63,overcast clouds
27,Amapa,BR,1.00,-52.00,83.14,68,100,4.63,light rain
28,Khatanga,RU,71.97,102.50,4.62,89,98,5.77,overcast clouds
29,Busselton,AU,-33.65,115.33,66.0,64,100,5.99,light rain
30,Corning,US,42.14,-77.05,69.8,52,1,5.75,clear sky
31,Ust-Tsilma,RU,65.44,52.15,39.42,75,100,14.36,overcast clouds
32,Dikson,RU,73.51,80.55,18.88,94,56,13.56,broken clouds
33,Bethel,US,41.37,-73.41,70.0,56,90,12.66,overcast clouds
34,Barrow,US,71.29,-156.79,-13.0,77,20,11.5,few clouds
35,Olinda,BR,-8.01,-34.86,78.8,83,75,6.91,light rain
36,Kapaa,US,22.08,-159.32,68.0,77,90,11.5,light rain
37,Rabo De Peixe,PT,37.80,-25.58,62.6,94,75,11.5,broken clouds
38,Katsuura,JP,35.13,140.30,50.0,66,20,10.36,few clouds
39,Leningradskiy,RU,69.38,178.42,-16.6,99,100,2.26,overcast clouds
40,Kodiak,US,57.79,-152.41,28.4,69,90,4.18,overcast clouds
41,Mudgee,AU,-32.59,149.59,48.2,81,40,3.44,scattered clouds
42,Imbituba,BR,-28.24,-48.67,87.8,55,0,12.66,clear sky
43,Mataura,NZ,-46.19,168.86,57.0,93,96,3.0,light rain
44,Lovozero,RU,68.00,35.01,25.29,85,41,10.11,scattered clouds
45,Bella Vista,US,36.43,-94.23,50.0,87,90,9.22,overcast clouds
46,Cockburn Town,TC,21.46,-71.14,80.6,47,40,11.5,scattered clouds
47,Hilo,US,19.73,-155.09,66.99,77,90,6.91,overcast clouds
48,Bengkulu,ID,-3.80,102.27,76.08,89,100,4.09,overcast clouds
49,Silver City,US,32.77,-108.28,69.8,7,1,8.05,clear sky
50,Mountain Home,US,43.13,-115.69,60.8,14,1,14.97,clear sky
51,Acapulco,MX,16.86,-99.89,82.4,69,1,10.36,clear sky
52,Sao Paulo De Olivenca,BR,-3.38,-68.87,85.44,69,99,2.04,overcast clouds
53,Nuuk,GL,64.18,-51.72,30.0,100,75,9.22,broken clouds
54,Esperance,AU,-33.87,121.90,57.2,88,78,10.36,broken clouds
55,Notre-Dame-Du-Lac,CA,47.61,-68.80,59.0,31,100,8.05,overcast clouds
56,Carnarvon,AU,-24.87,113.63,77.0,83,97,13.8,overcast clouds
57,Leh,IN,34.17,77.58,31.6,51,85,3.89,overcast clouds
58,Kholtoson,RU,50.30,103.31,23.47,73,100,8.55,overcast clouds
59,Kruisfontein,ZA,-34.00,24.73,61.0,95,97,1.01,overcast clouds
60,Coquimbo,CL,-29.95,-71.34,66.2,59,0,13.8,clear sky
61,Faya,SA,18.39,42.45,69.8,48,20,6.91,few clouds
62,Rawson,AR,-43.30,-65.10,68.83,37,3,17.4,clear sky
63,Port Alfred,ZA,-33.59,26.89,68.77,91,95,5.75,overcast clouds
64,Nome,US,64.50,-165.41,7.0,47,75,14.97,broken clouds
65,Ardakan,IR,32.31,54.02,77.0,19,40,4.61,scattered clouds
66,Saint George,US,37.10,-113.58,70.0,17,1,2.24,clear sky
67,Chokurdakh,RU,70.63,147.92,-33.03,100,85,3.53,overcast clouds
68,Marystown,CA,47.17,-55.15,40.84,70,84,9.86,broken clouds
69,Bonthe,SL,7.53,-12.51,84.29,72,74,9.91,broken clouds
70,Altagracia De Orituco,VE,9.86,-66.38,86.76,50,99,2.91,overcast clouds
71,Klaksvik,FO,62.23,-6.59,30.2,55,40,11.5,light snow
72,Haines Junction,CA,60.75,-137.51,-4.0,41,82,8.05,broken clouds
73,Port Blair,IN,11.67,92.75,81.95,75,41,4.83,scattered clouds
74,Beringovskiy,RU,63.05,179.32,5.52,93,100,19.82,light snow
75,Great Bend,US,38.36,-98.76,62.01,44,1,17.27,clear sky
76,New Norfolk,AU,-42.78,147.06,44.01,77,98,1.01,light rain
77,Te Anau,NZ,-45.42,167.72,53.65,95,95,3.22,light rain
78,Radom,PL,51.40,21.15,59.0,44,80,7.74,broken clouds
79,Barsovo,RU,61.17,73.17,37.4,100,40,4.03,light rain
80,Eyemouth,GB,55.87,-2.09,39.99,59,35,9.91,scattered clouds
81,Touba,CI,8.28,-7.68,92.1,32,100,6.24,overcast clouds
82,Airai,TL,-8.93,125.41,57.58,78,33,1.34,scattered clouds
83,Palmer,US,42.16,-72.33,73.4,46,20,8.05,few clouds
84,Victoria,HK,22.29,114.16,71.01,79,15,1.01,few clouds
85,Tasiilaq,GL,65.61,-37.64,33.8,60,75,2.3,broken clouds
86,Hermanus,ZA,-34.42,19.23,61.0,89,100,2.62,overcast clouds
87,Namibe,AO,-15.20,12.15,79.32,80,18,8.1,few clouds
88,Cayenne,GF,4.93,-52.33,84.2,84,40,8.05,scattered clouds
89,Saldanha,ZA,-33.01,17.94,66.2,77,99,9.22,overcast clouds
90,Sao Filipe,CV,14.90,-24.50,77.0,60,6,9.71,clear sky
91,Kamphaeng Phet,TH,16.25,99.50,83.79,57,29,3.87,scattered clouds
92,Ponta Do Sol,PT,32.67,-17.10,66.99,67,53,7.0,broken clouds
93,Karratha,AU,-20.74,116.85,83.26,75,97,13.98,overcast clouds
94,Baykit,RU,61.67,96.37,8.47,97,19,1.25,few clouds
95,Avarua,CK,-21.21,-159.77,77.0,100,40,2.3,scattered clouds
