City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ribeira Grande,PT,2021-04-04 15:30:43,38.5167,-28.7,64.4,82,75,20.71
1,Yarensk,RU,2021-04-04 15:30:44,62.1675,49.0916,23.68,92,79,2.26
2,Kashi,CN,2021-04-04 15:30:44,39.4547,75.9797,48.2,57,75,2.24
3,Cape Town,ZA,2021-04-04 15:25:51,-33.9258,18.4232,73.99,68,20,13.8
4,Manzil Kamil,TN,2021-04-04 15:30:44,35.6248,10.6673,68.0,52,100,10.36
5,Nuuk,GL,2021-04-04 15:30:45,64.1835,-51.7216,33.73,96,100,43.13
6,Port Alfred,ZA,2021-04-04 15:30:45,-33.5906,26.891,69.01,75,0,10.89
7,Khatanga,RU,2021-04-04 15:30:45,71.9667,102.5,-16.2,91,11,6.06
8,Bengkulu,ID,2021-04-04 15:27:05,-3.8004,102.2655,78.04,84,100,10.04
9,Tahara,JP,2021-04-04 15:30:46,34.6667,137.2667,61.0,74,100,1.01
10,Mataura,NZ,2021-04-04 15:30:17,-46.1927,168.8643,57.0,69,39,3.0
11,Axim,GH,2021-04-04 15:30:46,4.8699,-2.2405,84.6,70,34,9.06
12,Levelland,US,2021-04-04 15:30:46,33.5873,-102.378,60.01,72,90,6.91
13,Lata,PT,2021-04-04 15:27:27,40.1629,-8.3327,75.0,43,0,8.7
14,Sept-Iles,CA,2021-04-04 15:30:02,50.2001,-66.3821,37.0,47,75,10.36
15,Broken Hill,AU,2021-04-04 15:30:47,-31.95,141.4333,68.0,42,0,4.61
16,Jumla,NP,2021-04-04 15:30:47,29.2747,82.1838,45.05,23,1,4.5
17,Barrow,US,2021-04-04 15:30:47,71.2906,-156.7887,-11.2,70,1,12.66
18,Ossora,RU,2021-04-04 15:30:48,59.2353,163.0719,13.57,93,100,27.6
19,San Patricio,US,2021-04-04 15:30:48,28.017,-97.5169,73.99,78,90,8.05
20,Bandundu,CD,2021-04-04 15:30:48,-3.3167,17.3667,85.95,62,67,3.24
21,Lompoc,US,2021-04-04 15:30:48,34.6391,-120.4579,51.01,87,44,3.44
